id;pos_x;pos_y;pos_z;degree;isAtSampleBorder
0;-255.0;-37.0;0.0;1;1
1;-163.0;-47.0;0.0;1;1
2;-194.0;-63.0;0.0;1;1
3;-143.0;-103.0;0.0;1;1
4;-154.0;-108.0;0.0;1;1
5;-85.0;-116.0;0.0;1;1
6;-223.0;-124.0;0.0;1;1
7;-123.0;-142.0;0.0;1;1
8;-36.0;-151.0;0.0;1;1
9;-128.0;-164.0;0.0;1;1
10;-295.0;-176.0;0.0;1;1
11;-178.0;-198.0;0.0;1;1
12;-215.0;-201.0;0.0;1;1
13;-78.0;-232.0;0.0;1;1
14;-40.0;-234.0;0.0;1;1
15;-292.0;-122.0;3.0;1;0
16;-242.0;-294.0;3.0;1;0
17;-268.0;-67.0;4.0;1;0
18;-121.0;-122.0;4.0;1;0
19;-19.0;-262.0;4.0;1;0
20;-204.0;-33.0;5.0;1;0
21;-141.0;-60.0;5.0;1;0
22;-168.0;-102.0;5.0;1;0
23;-310.0;-118.0;5.0;1;0
24;-106.0;-141.0;5.0;1;0
25;-66.0;-250.0;5.0;1;0
26;-228.0;-293.0;5.0;1;0
27;-287.0;-192.0;6.0;1;0
28;-305.0;-274.0;6.0;1;0
29;-188.0;-29.0;7.0;1;0
30;-126.0;-61.0;7.0;1;0
31;-9.0;-108.0;7.0;1;0
32;-116.0;-122.0;7.0;1;0
33;-304.0;-148.0;7.0;1;0
34;-138.0;-225.0;7.0;1;0
35;-97.0;-230.0;7.0;1;0
36;-122.0;-245.0;7.0;1;0
37;-93.0;-246.0;7.0;1;0
38;-159.0;-287.0;7.0;1;0
39;-276.0;-289.0;7.0;1;0
40;-177.0;-293.0;7.0;1;0
41;-135.0;-42.0;8.0;1;0
42;-88.0;-47.0;8.0;1;0
43;-59.0;-118.0;8.0;1;0
44;-82.0;-86.0;9.0;1;0
45;-19.0;-125.0;9.0;1;0
46;-42.0;-208.0;9.0;1;0
47;-123.0;-210.0;9.0;1;0
48;-222.0;-216.0;9.0;1;0
49;-72.0;-264.0;9.0;1;0
50;-77.0;-291.0;9.0;1;0
51;-148.0;-202.0;11.0;1;0
52;-20.0;-289.0;11.0;1;0
53;-10.0;-36.0;12.0;1;0
54;-291.0;-38.0;12.0;1;0
55;-149.0;-87.0;12.0;1;0
56;-18.0;-216.0;12.0;1;0
57;-49.0;-291.0;12.0;1;0
58;-124.0;-292.0;12.0;1;0
59;-62.0;-64.0;13.0;1;0
60;-310.0;-187.0;13.0;1;0
61;-278.0;-230.0;13.0;1;0
62;-52.0;-55.0;14.0;1;0
63;-314.0;-136.0;14.0;1;0
64;-52.0;-170.0;14.0;1;0
65;-303.0;-256.0;14.0;1;0
