id;node1id;node2id;length;distance;curveness;volume;avgCrossSection;minRadiusAvg;minRadiusStd;avgRadiusAvg;avgRadiusStd;maxRadiusAvg;maxRadiusStd;roundnessAvg;roundnessStd;node1_degree;node2_degree;num_voxels;hasNodeAtSampleBorder
0;0;1632;38.5211;38.0657;1.01196;2428;63.0303;3.4723;0.427332;4.63686;0.346091;5.7565;0.335854;0.602904;0.073026;1;3;37;1
1;1;1546;8.23774;8.06226;1.02177;599;72.7141;4.59982;0.635213;5.70909;1.16576;8.05031;3.21956;0.637704;0.169564;1;3;7;1
2;2;1582;18.3712;18.0555;1.01749;1321;71.906;4.09335;0.465295;4.95425;0.436212;5.73796;0.394519;0.711644;0.0533638;1;3;17;1
3;3;1748;94.9818;86.3655;1.09977;7561;79.6047;4.38596;0.364276;5.163;0.243901;5.96223;0.343094;0.737656;0.072682;1;3;77;1
4;4;1550;8.31949;8.06226;1.03191;586;70.437;4.19416;0.816238;5.10761;0.627253;5.95252;0.528641;0.698234;0.0935746;1;3;7;1
5;5;1788;97.2166;93.9929;1.0343;9192;94.5517;4.69145;0.353182;5.67258;0.521782;6.94327;1.96986;0.705153;0.115463;1;3;88;1
6;6;1816;121.44;114.295;1.06251;9459;77.8904;4.3424;0.45765;5.09859;0.213508;5.88285;0.365013;0.743106;0.102919;1;4;98;1
7;7;1774;85.9564;84.3419;1.01914;7989;92.9425;4.83669;0.283029;5.5578;0.254306;6.24515;0.318981;0.775642;0.047189;1;3;82;1
8;8;1631;37.411;37.0135;1.01074;3972;106.172;5.3153;0.615226;5.94232;0.383561;6.75681;0.302542;0.784119;0.0710426;1;3;36;1
9;9;1693;89.6087;73.4915;1.21931;7172;80.0368;4.27145;0.284737;5.13178;0.258157;6.02193;0.3947;0.711311;0.0535762;1;3;81;1
10;10;1642;41.4787;41.0122;1.01137;5128;123.63;5.5936;0.458614;6.48701;0.297758;7.15387;0.136593;0.781673;0.0614855;1;3;40;1
11;11;1679;51.5139;50.7223;1.01561;3805;73.8636;4.46059;0.333332;4.99681;0.250617;5.56311;0.232087;0.800626;0.0374604;1;4;49;1
12;12;1658;91.3965;88.6679;1.03077;5814;63.6129;4.03626;0.479117;4.65753;0.346955;5.28448;0.322754;0.762941;0.085792;1;3;70;1
13;13;1553;9.68862;9.27362;1.04475;593;61.2058;4.11524;0.709443;4.79622;0.591201;5.55294;0.691737;0.736594;0.0555228;1;3;8;1
14;14;1629;35.036;35.0032;1.00094;2999;85.5977;4.88816;0.324783;5.50916;0.344603;6.18503;0.391047;0.790694;0.0309422;1;5;33;1
15;15;1559;48.769;45.4313;1.07347;623;12.7745;1.46437;0.249737;2.18633;0.754099;2.89112;1.62697;0.560411;0.128123;1;3;43;0
16;16;1580;33.1445;32.5883;1.01707;300;9.05128;1.37356;0.193017;1.85596;0.115174;2.319;0.259809;0.598447;0.100598;1;3;28;0
17;17;1564;9.22723;9.05539;1.01898;87;9.42861;1.4563;0.112881;1.82462;0.168341;2.26876;0.4168;0.663597;0.130561;1;3;8;0
